Name,Description,Type,Unit
acc-hourOfDay-10-avg,Acceleration 10:00 - 10:59 average,numeric,milligravity
acc-hourOfDay-11-avg,Acceleration 11:00 - 11:59 average,numeric,milligravity
acc-hourOfDay-12-avg,Acceleration 12:00 - 12:59 average,numeric,milligravity
acc-hourOfDay-13-avg,Acceleration 13:00 - 13:59 average,numeric,milligravity
acc-hourOfDay-14-avg,Acceleration 14:00 - 14:59 average,numeric,milligravity
acc-hourOfDay-15-avg,Acceleration 15:00 - 15:59 average,numeric,milligravity
acc-hourOfDay-16-avg,Acceleration 16:00 - 16:59 average,numeric,milligravity
acc-hourOfDay-17-avg,Acceleration 17:00 - 17:59 average,numeric,milligravity
acc-hourOfDay-18-avg,Acceleration 18:00 - 18:59 average,numeric,milligravity
acc-hourOfDay-19-avg,Acceleration 19:00 - 19:59 average,numeric,milligravity
acc-hourOfDay-20-avg,Acceleration 20:00 - 20:59 average,numeric,milligravity
acc-hourOfDay-21-avg,Acceleration 21:00 - 21:59 average,numeric,milligravity
acc-hourOfDay-22-avg,Acceleration 22:00 - 22:59 average,numeric,milligravity
acc-hourOfDay-23-avg,Acceleration 23:00 - 23:59 average,numeric,milligravity
wearTime-hourOfDay-0-avg,Accelerometer wear time 00:00 - 00:59 proportion average,numeric,proportion of time
wearTime-hourOfDay-1-avg,Accelerometer wear time 01:00 - 01:59 proportion average,numeric,proportion of time
wearTime-hourOfDay-2-avg,Accelerometer wear time 02:00 - 02:59 proportion average,numeric,proportion of time
wearTime-hourOfDay-3-avg,Accelerometer wear time 03:00 - 03:59 proportion average,numeric,proportion of time
wearTime-hourOfDay-4-avg,Accelerometer wear time 04:00 - 04:59 proportion average,numeric,proportion of time
wearTime-hourOfDay-5-avg,Accelerometer wear time 05:00 - 05:59 proportion average,numeric,proportion of time
wearTime-hourOfDay-6-avg,Accelerometer wear time 06:00 - 06:59 proportion average,numeric,proportion of time
wearTime-hourOfDay-7-avg,Accelerometer wear time 07:00 - 07:59 proportion average,numeric,proportion of time
wearTime-hourOfDay-8-avg,Accelerometer wear time 08:00 - 08:59 proportion average,numeric,proportion of time
wearTime-hourOfDay-9-avg,Accelerometer wear time 09:00 - 09:59 proportion average,numeric,proportion of time
wearTime-hourOfDay-10-avg,Accelerometer wear time 10:00 - 10:59 proportion average,numeric,proportion of time
wearTime-hourOfDay-11-avg,Accelerometer wear time 11:00 - 11:59 proportion average,numeric,proportion of time
wearTime-hourOfDay-12-avg,Accelerometer wear time 12:00 - 12:59 proportion average,numeric,proportion of time
